100
53	779
18	591
71	349
762	337
107	599
513	363
365	474
60	6
228	93
394	202
572	291
239	447
669	83
481	724
767	441
412	194
556	450
463	720
318	413
569	505
47	195
371	413
189	256
205	572
261	38
403	417
755	432
435	512
420	168
710	734
522	656
532	418
727	566
465	700
731	488
610	216
610	552
267	670
603	41
92	595
8	261
384	290
82	737
797	123
228	395
742	196
726	46
104	666
55	356
624	280
503	620
208	623
643	392
157	231
794	792
638	479
216	466
225	622
202	149
499	715
176	214
205	130
744	220
506	5
205	503
462	589
578	562
531	339
575	67
291	254
423	507
214	16
553	665
706	708
520	571
390	418
711	551
84	264
342	378
209	34
128	138
615	585
551	603
118	40
554	769
511	105
791	177
507	12
711	447
505	563
298	274
170	191
377	129
646	689
598	90
677	70
697	724
490	601
338	341
78	466
