100
10 18 81 76 73 4 89 40 24 83 6 23 48 95 72 90 51 54 55 39 98 35 97 66 29 94 15 68 5 79 63 93 7 74 78 85 96 52 69 82 17 47 70 49 21 43 59 13 58 11 16 61 84 28 26 0 3 56 77 36 62 22 2 37 25 33 20 1 12 57 88 30 65 99 44 80 31 91 87 45 9 86 34 60 19 38 46 75 14 32 42 67 53 92 41 64 50 27 71 8 
222	302
290	188
251	210
236	285
87	174
265	59
60	126
318	13
49	241
168	237
6	208
323	353
293	184
392	363
119	377
208	76
309	327
285	74
7	203
104	329
297	221
365	286
260	187
68	99
19	160
303	239
201	337
48	296
236	364
197	6
207	130
162	202
113	347
314	250
82	274
157	56
205	201
261	234
123	326
114	50
18	126
42	312
87	356
397	279
178	154
157	236
152	344
332	127
59	105
351	254
1	275
32	2
350	70
9	381
73	25
92	49
221	242
290	162
358	392
383	338
84	325
286	337
230	178
261	15
43	312
179	128
173	28
45	357
252	93
327	52
383	167
67	259
29	33
70	166
331	14
133	366
36	183
218	223
373	9
286	49
166	203
38	183
304	59
43	147
271	386
383	24
125	274
123	204
228	114
69	127
1	15
167	219
56	313
296	4
215	33
46	29
360	54
173	37
120	46
155	141
